word,COCA-Acad,ppm,ratio,disp
veteran,927.00,7.73,0.56,0.92
jump,927.00,7.73,0.5,0.91
akin,926.00,7.72,1.33,0.93
participatory,926.00,7.72,2.87,0.9
racist,926.00,7.72,0.92,0.89
famine,926.00,7.72,1.43,0.85
affluent,925.00,7.71,1.15,0.89
stupid,925.00,7.71,0.24,0.95
self-interest,924.00,7.70,2,0.9
spiral,923.00,7.69,1.39,0.84
sic,923.00,7.69,1.26,0.9
irrational,922.00,7.68,1.44,0.91
anticipation,922.00,7.68,0.89,0.91
rival,921.00,7.68,0.99,0.92
replication,921.00,7.68,2.91,0.9
tighten,921.00,7.68,0.52,0.89
unrealistic,920.00,7.67,1.57,0.94
networking,920.00,7.67,1.57,0.88
reverse,920.00,7.67,1.23,0.93
destine,920.00,7.67,1.1,0.93
pair,920.00,7.67,1.19,0.92
humble,919.00,7.66,0.81,0.92
doll,919.00,7.66,0.4,0.87
broadcasting,918.00,7.65,0.85,0.85
confusing,917.00,7.64,0.91,0.95
high-level,917.00,7.64,1.5,0.9
cast,917.00,7.64,0.49,0.92
garage,917.00,7.64,0.31,0.84
reap,917.00,7.64,1.23,0.91
clip,916.00,7.63,0.19,0.85
sharing,916.00,7.63,2.21,0.92
gear,916.00,7.63,1.09,0.95
precipitate,916.00,7.63,2.1,0.94
relocate,916.00,7.63,1.06,0.91
though,915.00,7.63,0.24,0.93
deteriorate,915.00,7.63,1.26,0.93
civilized,914.00,7.62,1.15,0.88
nearest,914.00,7.62,0.76,0.88
notorious,914.00,7.62,0.88,0.93
wholesale,914.00,7.62,1.16,0.92
indifference,914.00,7.62,1.36,0.91
continual,913.00,7.61,1.98,0.94
narrowly,913.00,7.61,1.4,0.93
refrain,913.00,7.61,1.65,0.92
beast,912.00,7.60,0.48,0.9
primacy,912.00,7.60,2.86,0.89
globally,912.00,7.60,1.9,0.89
conducive,911.00,7.59,2.29,0.93
hut,911.00,7.59,0.67,0.91
monarchy,911.00,7.59,1.79,0.88
institutionalize,911.00,7.59,2.33,0.9
disastrous,910.00,7.58,1.15,0.92
legendary,910.00,7.58,0.6,0.92
capitalist,910.00,7.58,1.7,0.9
dissemination,910.00,7.58,2.9,0.93
distinctly,910.00,7.58,1.39,0.93
bypass,910.00,7.58,1.27,0.92
hook,910.00,7.58,0.43,0.88
plateau,909.00,7.58,1.43,0.88
round,909.00,7.58,0.56,0.92
coexist,908.00,7.57,1.97,0.93
fare,908.00,7.57,1.06,0.94
suffice,908.00,7.57,1.75,0.93
feasibility,907.00,7.56,2.54,0.88
lively,906.00,7.55,0.78,0.94
registry,906.00,7.55,1.75,0.75
totality,906.00,7.55,2.51,0.86
desperately,906.00,7.55,0.51,0.93
theorize,906.00,7.55,2.18,0.91
astonishing,905.00,7.54,0.96,0.93
cling,905.00,7.54,0.51,0.92
goat,904.00,7.53,0.52,0.88
stadium,904.00,7.53,0.25,0.86
void,904.00,7.53,1.04,0.91
capitalize,904.00,7.53,1.33,0.95
furnish,904.00,7.53,1.18,0.93
identifiable,903.00,7.53,2.14,0.94
stunning,903.00,7.53,0.59,0.91
principally,903.00,7.53,2.12,0.93
commonplace,902.00,7.52,1.55,0.93
disappointed,901.00,7.51,0.43,0.94
homosexual,901.00,7.51,1.12,0.86
turmoil,901.00,7.51,0.95,0.91
amplify,901.00,7.51,1.82,0.9
outweigh,900.00,7.50,1.54,0.93
ambivalence,899.00,7.49,1.91,0.89
comparatively,898.00,7.48,1.96,0.93
pie,897.00,7.48,0.31,0.92
delete,897.00,7.48,1.24,0.85
canonical,895.00,7.46,3.13,0.85
inefficient,895.00,7.46,1.83,0.92
composite,895.00,7.46,2.29,0.83
following,893.00,7.44,1.54,0.94
miniature,893.00,7.44,0.82,0.86
coming,893.00,7.44,0.89,0.91
forestry,893.00,7.44,1.98,0.79
secrecy,893.00,7.44,1.12,0.87
shield,893.00,7.44,0.61,0.91
chaotic,892.00,7.43,1.17,0.9
imagined,892.00,7.43,1.93,0.9
loser,892.00,7.43,0.6,0.92
intensely,892.00,7.43,1.09,0.94
luxury,891.00,7.43,0.69,0.91
prepared,891.00,7.43,0.77,0.94
commonwealth,891.00,7.43,1.37,0.89
intellect,891.00,7.43,1.57,0.89
trademark,891.00,7.43,1,0.86
trench,891.00,7.43,0.86,0.87
good,891.00,7.43,0.61,0.94
converge,891.00,7.43,1.41,0.92
altered,890.00,7.42,1.94,0.9
coercive,890.00,7.42,2.64,0.89
pretty,890.00,7.42,0.21,0.93
dwelling,890.00,7.42,1.36,0.9
hegemonic,889.00,7.41,3.18,0.87
bicycle,889.00,7.41,0.49,0.9
inquire,889.00,7.41,0.99,0.93
provocative,888.00,7.40,1.09,0.93
fur,888.00,7.40,0.52,0.89
specially,888.00,7.40,1.33,0.91
disappearance,887.00,7.39,0.9,0.92
bounce,887.00,7.39,0.39,0.89
restrain,886.00,7.38,1.04,0.92
finish,885.00,7.38,0.37,0.85
misery,885.00,7.38,0.82,0.91
panic,885.00,7.38,0.46,0.92
speculative,884.00,7.37,1.82,0.93
lock,883.00,7.36,0.35,0.88
evenly,883.00,7.36,0.67,0.9
labor,883.00,7.36,1.13,0.92
camel,882.00,7.35,1.01,0.75
tile,882.00,7.35,0.55,0.84
incredibly,882.00,7.35,0.45,0.91
haunt,882.00,7.35,0.6,0.92
boil,881.00,7.34,0.46,0.91
infuse,881.00,7.34,1.5,0.93
exposed,880.00,7.33,1.06,0.88
crusade,880.00,7.33,1.13,0.88
visualize,880.00,7.33,1.5,0.91
forward,879.00,7.33,0.99,0.9
nursery,879.00,7.33,0.71,0.84
any,879.00,7.33,0.54,0.94
magnificent,877.00,7.31,0.7,0.91
aviation,877.00,7.31,0.83,0.82
reference,877.00,7.31,1.96,0.92
airborne,876.00,7.30,1.06,0.84
solitary,876.00,7.30,0.99,0.92
abandonment,876.00,7.30,1.84,0.9
persuasion,876.00,7.30,1.72,0.9
scarcely,876.00,7.30,1.03,0.92
exit,876.00,7.30,0.57,0.91
ponder,876.00,7.30,0.79,0.93
marble,875.00,7.29,0.54,0.84
theirs,875.00,7.29,0.68,0.94
objectivity,874.00,7.28,2,0.91
foresee,873.00,7.28,1.23,0.93
respected,872.00,7.27,0.95,0.94
endow,872.00,7.27,1.89,0.92
postulate,872.00,7.27,2.94,0.92
coordinated,871.00,7.26,1.88,0.92
progressively,871.00,7.26,2.08,0.93
trigger,870.00,7.25,0.59,0.91
impoverished,869.00,7.24,1.4,0.92
motivated,869.00,7.24,1.77,0.93
resonate,869.00,7.24,1.21,0.93
messy,868.00,7.23,0.93,0.83
intrusion,868.00,7.23,1.51,0.92
refrigerator,868.00,7.23,0.43,0.82
circle,868.00,7.23,0.52,0.9
martial,866.00,7.22,1.24,0.85
intentionally,866.00,7.22,1.2,0.94
no,865.00,7.21,0.5,0.95
aggregate,865.00,7.21,2.8,0.88
interplay,865.00,7.21,2.41,0.92
dwell,865.00,7.21,1.1,0.91
trivial,864.00,7.20,1.35,0.93
livelihood,864.00,7.20,1.58,0.89
sketch,864.00,7.20,1.17,0.92
silk,862.00,7.18,0.37,0.85
ethos,861.00,7.18,2.24,0.9
underway,861.00,7.18,1.05,0.92
reassure,861.00,7.18,0.67,0.93
stark,860.00,7.17,0.89,0.94
backdrop,860.00,7.17,0.95,0.92
conspicuous,859.00,7.16,1.71,0.91
jewelry,859.00,7.16,0.42,0.89
healer,858.00,7.15,1.63,0.83
sometime,858.00,7.15,0.57,0.93
espouse,858.00,7.15,1.85,0.92
Portuguese,857.00,7.14,1.894483378,0.85796328
bride,857.00,7.14,0.47,0.85
fool,857.00,7.14,0.4,0.85
mess,857.00,7.14,0.31,0.92
fold,857.00,7.14,0.32,0.91
revisit,857.00,7.14,1.19,0.93
fearful,856.00,7.13,0.85,0.92
proxy,856.00,7.13,1.55,0.92
purity,856.00,7.13,1.46,0.91
stimulating,855.00,7.13,1.92,0.94
disregard,855.00,7.13,1.61,0.93
notify,855.00,7.13,0.82,0.91
pave,855.00,7.13,1.04,0.92
intricate,854.00,7.12,1.09,0.91
connected,853.00,7.11,1.64,0.87
emergent,853.00,7.11,2.98,0.9
obscure,853.00,7.11,1.05,0.93
convert,853.00,7.11,1.75,0.87
laundry,853.00,7.11,0.54,0.72
partition,853.00,7.11,1.69,0.85
prosperous,852.00,7.10,1.13,0.89
sociopolitical,852.00,7.10,3.16,0.88
crossing,852.00,7.10,0.84,0.9
cluster,852.00,7.10,1.33,0.9
seventeen,851.00,7.09,0.82,0.93
offend,851.00,7.09,0.61,0.92
luxury,850.00,7.08,0.73,0.93
soybean,850.00,7.08,1.53,0.75
ruin,850.00,7.08,0.44,0.94
biotechnology,849.00,7.08,1.69,0.82
buildup,849.00,7.08,0.38,0.88
pencil,849.00,7.08,0.47,0.92
plight,849.00,7.08,1.11,0.92
shipment,849.00,7.08,1.02,0.89
loom,849.00,7.08,0.62,0.94
dire,848.00,7.07,1.03,0.94
observable,848.00,7.07,3.05,0.88
accessory,848.00,7.07,0.78,0.84
hub,848.00,7.07,0.85,0.86
hesitate,848.00,7.07,0.37,0.94
censorship,847.00,7.06,1.4,0.85
township,847.00,7.06,1.29,0.85
widen,847.00,7.06,0.63,0.94
rolling,846.00,7.05,0.45,0.89
transient,846.00,7.05,2.07,0.88
two-way,846.00,7.05,1.7,0.91
inaccurate,845.00,7.04,1.45,0.94
measurable,845.00,7.04,2.29,0.92
respectable,845.00,7.04,1.1,0.91
dancing,845.00,7.04,0.52,0.9
feel,845.00,7.04,0.39,0.94
insignificant,844.00,7.03,1.54,0.93
interruption,844.00,7.03,1.52,0.88
pause,844.00,7.03,0.22,0.94
inception,843.00,7.03,1.88,0.94
clear,843.00,7.03,0.72,0.95
jeopardize,843.00,7.03,1.26,0.9
leak,843.00,7.03,0.57,0.85
binding,842.00,7.02,1.53,0.91
predominant,842.00,7.02,2.35,0.93
urge,842.00,7.02,0.72,0.94
legitimize,842.00,7.02,2.3,0.91
tilt,842.00,7.02,0.55,0.87
admittedly,841.00,7.01,1.51,0.93
pertain,841.00,7.01,2.49,0.93
rewrite,841.00,7.01,1.15,0.92
daunting,840.00,7.00,1.08,0.93
kind,840.00,7.00,0.09,0.94
dismantle,840.00,7.00,1.03,0.91
paramount,839.00,6.99,1.61,0.94
proven,839.00,6.99,1.16,0.93
bow,839.00,6.99,0.37,0.89
yours,839.00,6.99,0.27,0.94
smoothly,839.00,6.99,0.8,0.89
dubious,838.00,6.98,1.17,0.93
uniqueness,838.00,6.98,2.4,0.91
confound,838.00,6.98,1.95,0.93
suck,838.00,6.98,0.33,0.91
bipolar,837.00,6.98,1.98,0.88
yearly,837.00,6.98,1.48,0.91
collective,837.00,6.98,1.84,0.86
depletion,837.00,6.98,2.32,0.83
favorably,837.00,6.98,1.9,0.93
type,837.00,6.98,0.88,0.86
maneuver,836.00,6.97,1.12,0.91
sage,836.00,6.97,0.8,0.89
profit,836.00,6.97,1.18,0.93
following,835.00,6.96,1.79,0.94
someday,835.00,6.96,0.47,0.9
upward,835.00,6.96,0.76,0.89
blueprint,834.00,6.95,1.12,0.92
seizure,834.00,6.95,1.07,0.87
thwart,834.00,6.95,1.34,0.93
measured,833.00,6.94,1.98,0.88
tracking,833.00,6.94,1.2,0.87
hamper,833.00,6.94,1.52,0.92
learned,832.00,6.93,2.05,0.88
blast,832.00,6.93,0.5,0.83
founding,832.00,6.93,2.03,0.91
outrage,832.00,6.93,0.68,0.88
chart,832.00,6.93,1.47,0.93
transcribe,832.00,6.93,1.35,0.87
real-world,831.00,6.93,2.15,0.88
vibrant,831.00,6.93,0.89,0.93
undertaking,831.00,6.93,1.64,0.92
convene,831.00,6.93,1.18,0.93
lucrative,830.00,6.92,0.9,0.93
serial,830.00,6.92,0.94,0.88
eve,830.00,6.92,0.35,0.87
fountain,830.00,6.92,0.59,0.91
helping,830.00,6.92,1.19,0.88
happily,830.00,6.92,0.5,0.93
underline,830.00,6.92,1.72,0.92
one-way,829.00,6.91,1.63,0.9
scheduled,829.00,6.91,1.05,0.93
bracket,829.00,6.91,1.09,0.87
abusive,828.00,6.90,0.99,0.87
crowded,828.00,6.90,0.52,0.92
pioneering,827.00,6.89,1.73,0.89
resort,827.00,6.89,1.21,0.92
anecdotal,826.00,6.88,1.9,0.93
disproportionate,826.00,6.88,1.84,0.93
manifest,826.00,6.88,2.28,0.92
scientifically,826.00,6.88,1.85,0.91
curtain,825.00,6.88,0.33,0.92
jar,825.00,6.88,0.42,0.88
eradicate,825.00,6.88,1.56,0.93
pitch,825.00,6.88,0.3,0.92
preside,824.00,6.87,0.95,0.91
warmth,822.00,6.85,0.49,0.9
drastically,822.00,6.85,1.38,0.93
intercept,822.00,6.85,0.98,0.87
lag,821.00,6.84,1.34,0.93
pinpoint,821.00,6.84,1.27,0.88
tentative,820.00,6.83,1.18,0.94
lightning,820.00,6.83,0.47,0.86
emulate,820.00,6.83,1.51,0.93
reclaim,820.00,6.83,1.09,0.92
vigorously,819.00,6.83,1.02,0.93
approximate,819.00,6.83,2.34,0.93
comfort,819.00,6.83,0.61,0.92
unchanged,818.00,6.82,1.43,0.93
animation,818.00,6.82,1.05,0.8
manufacture,818.00,6.82,1.88,0.9
recruit,818.00,6.82,0.9,0.87
staple,818.00,6.82,0.93,0.91
grind,818.00,6.82,0.62,0.87
anti-semitism,817.00,6.81,1.69,0.7
veil,817.00,6.81,0.99,0.86
curtail,817.00,6.81,1.49,0.92
shock,817.00,6.81,0.41,0.94
wave,817.00,6.81,0.2,0.92
appealing,816.00,6.80,0.98,0.94
influx,816.00,6.80,1.37,0.9
alert,815.00,6.79,0.67,0.92
durable,815.00,6.79,1.13,0.9
recorded,815.00,6.79,1.41,0.91
predicted,814.00,6.78,2.42,0.87
Scottish,814.00,6.78,1.119078661,0.801238242
feat,814.00,6.78,1,0.91
number,814.00,6.78,1.41,0.92
worried,813.00,6.78,0.29,0.95
scream,813.00,6.78,0.15,0.94
scrap,812.00,6.77,0.65,0.83
twist,812.00,6.77,0.33,0.9
brave,811.00,6.76,0.47,0.92
overlapping,811.00,6.76,2.06,0.93
Headnote,811.00,6.76,1.122002601,0.884037013
refinement,811.00,6.76,1.93,0.9
hover,811.00,6.76,0.52,0.9
Argentine,810.00,6.75,2.050822121,0.811114783
hammer,809.00,6.74,0.53,0.86
mixing,809.00,6.74,1.3,0.82
scout,809.00,6.74,0.35,0.9
absurd,808.00,6.73,0.72,0.91
geometric,808.00,6.73,1.71,0.87
bound,808.00,6.73,1.21,0.9
okay,808.00,6.73,0.1,0.92
crowd,808.00,6.73,0.51,0.93
nonexistent,806.00,6.72,1.38,0.94
old-fashioned,806.00,6.72,0.5,0.94
candle,806.00,6.72,0.36,0.9
questioning,806.00,6.72,1.14,0.92
rob,806.00,6.72,0.55,0.92
intent,805.00,6.71,1.11,0.89
positioning,805.00,6.71,1.97,0.87
engineer,805.00,6.71,1.24,0.85
hand-held,804.00,6.70,1.32,0.83
poison,804.00,6.70,0.64,0.91
artisan,803.00,6.69,1.45,0.81
inadequacy,803.00,6.69,2.27,0.93
workload,803.00,6.69,2.09,0.82
awkward,802.00,6.68,0.51,0.94
stated,802.00,6.68,1.94,0.93
mask,802.00,6.68,1.28,0.94
decreasing,801.00,6.68,2.48,0.9
final,801.00,6.68,0.29,0.94
wagon,801.00,6.68,0.4,0.87
stationary,800.00,6.67,1.8,0.85
reciprocity,800.00,6.67,2.85,0.89
urbanization,800.00,6.67,2.93,0.86
reconsider,800.00,6.67,1.13,0.93
remedy,800.00,6.67,1.77,0.93
synagogue,799.00,6.66,1.21,0.74
enclosure,798.00,6.65,1.6,0.83
hopeful,797.00,6.64,0.56,0.93
distraction,797.00,6.64,0.76,0.93
ski,797.00,6.64,0.21,0.85
takeover,797.00,6.64,0.93,0.88
succumb,797.00,6.64,1.17,0.94
microphone,796.00,6.63,0.65,0.88
setback,796.00,6.63,1,0.91
wary,795.00,6.63,0.73,0.94
promptly,795.00,6.63,0.89,0.93
battle,795.00,6.63,0.49,0.93
wield,795.00,6.63,1.06,0.92
confidential,794.00,6.62,0.95,0.92
forensic,794.00,6.62,0.97,0.83
hallmark,794.00,6.62,1.24,0.95
geographically,794.00,6.62,2.2,0.92
merit,794.00,6.62,1.67,0.94
contentious,793.00,6.61,1.38,0.91
utopian,793.00,6.61,2.14,0.85
initial,793.00,6.61,1.14,0.92
pioneer,793.00,6.61,1.47,0.9
uneven,792.00,6.60,1.2,0.92
drift,792.00,6.60,0.86,0.85
lecturer,792.00,6.60,1.79,0.88
owing,790.00,6.58,2.36,0.92
innate,790.00,6.58,1.79,0.92
targeted,790.00,6.58,2.02,0.92
charm,790.00,6.58,0.49,0.91
moral,790.00,6.58,1.43,0.9
pal,790.00,6.58,0.52,0.83
pamphlet,790.00,6.58,1.42,0.9
responsiveness,790.00,6.58,2.9,0.86
straw,790.00,6.58,0.48,0.9
overnight,790.00,6.58,0.48,0.93
psychologically,790.00,6.58,1.5,0.91
accelerated,789.00,6.58,1.98,0.9
aged,789.00,6.58,1.25,0.87
neat,789.00,6.58,0.48,0.92
prairie,789.00,6.58,0.6,0.83
completed,788.00,6.57,1.85,0.92
lethal,788.00,6.57,0.76,0.89
paid,788.00,6.57,1.11,0.9
dune,788.00,6.57,0.92,0.77
leap,788.00,6.57,0.31,0.94
lure,788.00,6.57,0.58,0.93
terminal,787.00,6.56,1.36,0.89
down,787.00,6.56,0.45,0.94
scattered,786.00,6.55,1.1,0.89
elaboration,786.00,6.55,2.88,0.9
surface,786.00,6.55,0.98,0.92
divided,785.00,6.54,1.21,0.9
cop,785.00,6.54,0.16,0.88
exceptionally,785.00,6.54,1.35,0.93
chair,785.00,6.54,1.13,0.9
subtract,785.00,6.54,1.8,0.91
leak,784.00,6.53,0.62,0.84
intrinsically,784.00,6.53,2.7,0.9
helper,783.00,6.53,1.4,0.85
swear,783.00,6.53,0.27,0.94
dissolution,782.00,6.52,2.28,0.87
epoch,782.00,6.52,2.62,0.86
permeate,782.00,6.52,1.63,0.93
unleash,782.00,6.52,1,0.92
three-year,781.00,6.51,0.99,0.91
ancestry,781.00,6.51,1.88,0.87
sophistication,781.00,6.51,1.39,0.94
token,781.00,6.51,1.45,0.9
generosity,780.00,6.50,1.15,0.9
parcel,780.00,6.50,1.07,0.91
trash,780.00,6.50,0.42,0.88
pro,779.00,6.49,0.41,0.9
peril,779.00,6.49,1.06,0.89
breed,778.00,6.48,0.78,0.88
aunt,777.00,6.48,0.19,0.91
dining,777.00,6.48,0.23,0.94
knot,777.00,6.48,0.51,0.85
advancing,776.00,6.47,1.49,0.93
fruitful,776.00,6.47,2.21,0.92
integrative,776.00,6.47,3.05,0.88
doc,776.00,6.47,0.64,0.82
multiculturalism,776.00,6.47,1.9,0.87
prominently,776.00,6.47,1.61,0.93
obsolete,775.00,6.46,1.39,0.92
longevity,775.00,6.46,1.37,0.89
Andean,774.00,6.45,2.794051334,0.819629001
eighty,774.00,6.45,1.01,0.93
dynasty,773.00,6.44,1.3,0.87
logically,773.00,6.44,2.12,0.93
helmet,772.00,6.43,0.4,0.85
receptive,771.00,6.43,1.63,0.94
embarrassment,770.00,6.42,0.67,0.93
plurality,770.00,6.42,2.57,0.86
immerse,770.00,6.42,1.18,0.92
matching,769.00,6.41,0.82,0.9
purple,769.00,6.41,0.34,0.88
real-life,769.00,6.41,1.02,0.93
small-scale,769.00,6.41,2.15,0.87
behalf,769.00,6.41,0.96,0.92
tight,769.00,6.41,0.28,0.9
escalate,769.00,6.41,1.02,0.92
pressure,769.00,6.41,0.95,0.91
prehistoric,768.00,6.40,1.77,0.86
mosaic,768.00,6.40,1.7,0.86
omission,768.00,6.40,1.84,0.93
polarization,768.00,6.40,2.45,0.85
prophecy,768.00,6.40,1.5,0.87
turning,768.00,6.40,0.76,0.92
loosely,768.00,6.40,0.89,0.93
overhead,768.00,6.40,0.59,0.85
shy,767.00,6.39,0.43,0.93
supplemental,767.00,6.39,1.75,0.91
locale,766.00,6.38,1.59,0.92
outward,766.00,6.38,1.28,0.87
hail,766.00,6.38,0.71,0.93
clarification,765.00,6.38,2.01,0.93
nowadays,765.00,6.38,0.89,0.93
oppressive,764.00,6.37,1.6,0.9
renowned,764.00,6.37,0.95,0.93
board,764.00,6.37,0.54,0.92
ignorant,763.00,6.36,1.01,0.92
pledge,763.00,6.36,0.66,0.88
scrutinize,763.00,6.36,1.11,0.94
imperfect,762.00,6.35,1.67,0.91
micro,762.00,6.35,1.89,0.85
ambivalent,760.00,6.33,1.88,0.9
ensuing,760.00,6.33,1.59,0.93
further,760.00,6.33,2.03,0.94
rear,760.00,6.33,1.02,0.87
hiring,759.00,6.33,0.99,0.91
T-shirt,759.00,6.33,0.291767039,0.920903109
heated,758.00,6.32,0.92,0.91
highlight,758.00,6.32,0.57,0.88
enormously,758.00,6.32,1.02,0.93
impart,758.00,6.32,1.58,0.93
closet,757.00,6.31,0.28,0.91
impediment,757.00,6.31,1.84,0.93
purchasing,757.00,6.31,1.68,0.9
upheaval,757.00,6.31,1.41,0.92
rip,757.00,6.31,0.3,0.88
Anglo,756.00,6.30,1.965257011,0.826366246
unintended,756.00,6.30,1.68,0.92
boyfriend,756.00,6.30,0.28,0.86
rigor,756.00,6.30,1.59,0.93
wherein,756.00,6.30,2.24,0.93
right-wing,755.00,6.29,0.95,0.88
informative,754.00,6.28,1.83,0.92
sect,754.00,6.28,1.64,0.79
extraordinarily,754.00,6.28,0.98,0.93
team,754.00,6.28,0.71,0.91
drastic,753.00,6.28,1.17,0.93
endemic,753.00,6.28,2.21,0.88
frustrating,753.00,6.28,0.71,0.95
localized,753.00,6.28,2.55,0.89
unresolved,752.00,6.27,1.73,0.92
casino,752.00,6.27,0.36,0.82
maize,752.00,6.27,2.34,0.81
hopefully,752.00,6.27,0.34,0.94
postpone,751.00,6.26,0.81,0.93
relegate,751.00,6.26,1.59,0.93
accent,750.00,6.25,0.37,0.91
grasp,750.00,6.25,0.95,0.91
discredit,750.00,6.25,1.38,0.89
haven,749.00,6.24,0.45,0.92
sadness,749.00,6.24,0.58,0.88
yesterday,748.00,6.23,0.09,0.94
dive,748.00,6.23,0.51,0.87
glad,747.00,6.23,0.15,0.93
orderly,747.00,6.23,1.07,0.93
comfortably,747.00,6.23,0.87,0.94
enlightened,746.00,6.22,1.78,0.92
hurdle,746.00,6.22,0.78,0.9
decidedly,746.00,6.22,1.17,0.94
usher,746.00,6.22,0.78,0.92
instructive,745.00,6.21,2.12,0.93
compatibility,745.00,6.21,2.53,0.85
fetus,745.00,6.21,1.1,0.86
seriousness,745.00,6.21,1.21,0.93
anything,745.00,6.21,0.14,0.93
reshape,745.00,6.21,1.46,0.94
contrasting,744.00,6.20,2.06,0.91
incidental,744.00,6.20,2.22,0.82
royalty,744.00,6.20,0.86,0.91
downward,743.00,6.19,1.19,0.92
lovely,743.00,6.19,0.25,0.92
mighty,743.00,6.19,0.66,0.93
intolerance,743.00,6.19,1.69,0.86
tout,743.00,6.19,0.83,0.95
closing,742.00,6.18,0.63,0.93
impending,742.00,6.18,1.19,0.94
indifferent,742.00,6.18,1.19,0.92
penetration,742.00,6.18,1.89,0.92
neatly,742.00,6.18,0.62,0.92
discount,742.00,6.18,1.22,0.94
case,741.00,6.18,0.41,0.93
concentrated,741.00,6.18,1.67,0.92
sizable,741.00,6.18,1.25,0.93
suggestive,741.00,6.18,1.83,0.92
would-be,741.00,6.18,0.92,0.93
intimately,741.00,6.18,1.54,0.93
spontaneously,741.00,6.18,1.97,0.93
deaf,739.00,6.16,0.82,0.86
stratum,739.00,6.16,2.17,0.89
thief,739.00,6.16,0.48,0.89
tournament,739.00,6.16,0.19,0.86
vignette,739.00,6.16,2.16,0.86
winning,738.00,6.15,0.53,0.91
bonding,738.00,6.15,1.52,0.88
fog,738.00,6.15,0.46,0.82
fork,738.00,6.15,0.3,0.87
roller,738.00,6.15,0.69,0.85
near,738.00,6.15,0.64,0.9
prosper,738.00,6.15,1.18,0.93
biomedical,737.00,6.14,2.21,0.85
usable,737.00,6.14,1.94,0.88
freelance,737.00,6.14,1.21,0.92
trip,737.00,6.14,0.54,0.92
honorable,736.00,6.13,0.91,0.88
neutrality,736.00,6.13,2.23,0.89
dull,735.00,6.13,0.49,0.93
egalitarian,735.00,6.13,2.45,0.89
surrogate,734.00,6.12,1.34,0.9
chiefly,734.00,6.12,1.91,0.93
silence,734.00,6.12,0.9,0.9
cement,733.00,6.11,0.73,0.88
sickness,733.00,6.11,0.97,0.9
dissatisfied,732.00,6.10,1.7,0.89
extant,732.00,6.10,2.95,0.91
memorable,732.00,6.10,0.66,0.92
resultant,732.00,6.10,2.84,0.89
academia,732.00,6.10,1.88,0.92
stature,732.00,6.10,1.08,0.88
secondly,732.00,6.10,0.79,0.93
defer,732.00,6.10,1.27,0.91
interrelated,731.00,6.09,2.94,0.93
prudent,731.00,6.09,1.31,0.92
differential,731.00,6.09,2.31,0.88
dispense,731.00,6.09,1.2,0.94
cheek,730.00,6.08,0.18,0.92
flooding,730.00,6.08,0.99,0.85
professionalism,730.00,6.08,1.81,0.89
trail,730.00,6.08,0.33,0.9
reorganization,729.00,6.08,1.71,0.9
stumble,729.00,6.08,0.33,0.93
covert,728.00,6.07,1.26,0.91
debut,728.00,6.07,0.39,0.8
flash,728.00,6.07,0.27,0.88
lest,727.00,6.06,1.28,0.93
damaging,727.00,6.06,1.17,0.92
contributing,726.00,6.05,1.76,0.91
invaluable,726.00,6.05,1.63,0.93
middle-aged,726.00,6.05,0.73,0.91
hunt,726.00,6.05,0.24,0.89
regret,726.00,6.05,0.42,0.93
adjacent,725.00,6.04,1.35,0.9
breakup,725.00,6.04,0.95,0.79
superb,724.00,6.03,0.85,0.89
hey,724.00,6.03,0.08,0.93
unveil,724.00,6.03,0.77,0.91
ambient,723.00,6.03,2.22,0.83
compulsory,723.00,6.03,2.32,0.9
meaningless,723.00,6.03,1.11,0.93
outright,723.00,6.03,1.29,0.92
lottery,723.00,6.03,0.65,0.79
affiliate,723.00,6.03,1.53,0.93
fascinate,723.00,6.03,0.64,0.92
magnify,723.00,6.03,1.48,0.9
torture,723.00,6.03,0.62,0.89
premier,722.00,6.02,0.96,0.93
armor,722.00,6.02,0.61,0.88
stripe,721.00,6.01,0.69,0.88
professionally,721.00,6.01,1,0.94
doom,721.00,6.01,0.96,0.93
indulge,721.00,6.01,0.81,0.94
programmer,720.00,6.00,1.16,0.81
presuppose,720.00,6.00,2.85,0.89
tricky,719.00,5.99,0.71,0.89
chore,719.00,5.99,0.65,0.93
counsel,719.00,5.99,1.04,0.92
lone,718.00,5.98,0.53,0.91
seventy,718.00,5.98,1,0.92
fabricate,718.00,5.98,1.66,0.84
standardize,718.00,5.98,2.52,0.91
mundane,717.00,5.98,1.27,0.93
repetitive,717.00,5.98,1.61,0.92
assemblage,717.00,5.98,2.06,0.82
commence,717.00,5.98,1.45,0.92
midwestern,716.00,5.97,1.34,0.88
cafe,716.00,5.97,0.33,0.88
dysfunctional,715.00,5.96,1.47,0.87
embedded,715.00,5.96,2.4,0.86
glorious,715.00,5.96,0.68,0.92
nasty,715.00,5.96,0.41,0.93
seminal,715.00,5.96,1.91,0.92
vicious,715.00,5.96,0.72,0.92
embrace,715.00,5.96,0.91,0.9
fixture,715.00,5.96,0.84,0.84
girlfriend,715.00,5.96,0.23,0.91
lap,715.00,5.96,0.25,0.89
blast,715.00,5.96,0.51,0.88
burgeoning,714.00,5.95,1.39,0.93
simulated,714.00,5.95,1.88,0.83
slim,714.00,5.95,0.51,0.92
tolerant,714.00,5.95,1.35,0.92
aforementioned,713.00,5.94,2.1,0.93
concomitant,713.00,5.94,3.07,0.93
far-reaching,713.00,5.94,1.81,0.93
mailing,713.00,5.94,1.47,0.91
